,Name,Ticker,Market Cap (B),Enterprise Value (B),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue,Enterprise Value/EBITDA,Beta (5Y Monthly),52 Week Change (%),S&P500 52-Week Change (%),52 Week High,52 Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol 3 month (M),Avg Vol 10 day (M),Shares Outstanding,Implied Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short (M),Short Ratio (M),Short % of Float,Short % of Shares Outstanding,Shares Short,Forward Annual Dividend Rate,Forward Annual Dividend Yield (%),Trailing Annual Dividend Rate,Trailing Annual Dividend Yield (%),5 Year Average Dividend Yield,Payout Ratio (%),Last Split Factor (x:1),Profit Margin (%),Operating Margin (ttm) (%),Return on Assets (ttm) (%),Return on Equity (ttm) (%),Revenue (ttm) (B),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy) (%),Gross Profit (ttm) (B),EBITDA (B),Net Income Avi to Common (ttm) (B),Diluted EPS (ttm),Quarterly Earnings Growth (yoy) (%),Total Cash (mrq) (B),Total Cash Per Share (mrq),Total Debt (mrq) (B),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm) (B),Levered Free Cash Flow (ttm) (B),Dividend Date,Ex-Dividend Date,Last Split Date,Fiscal Year Ends,Most Recent Quarter (mrq)
10,ASML Holding N.V. ,ASML,261.17,257.77,42.44,31.35,1.5,11.27,26.86,12.17,36.39,1.24,8.0,-8.0,698.59,363.15,646.7,556.68,0.0,0.0,0.39,0.0,21.91,0.0,20.0,0.0,1.13,0.0,0.0,0.0,9.94,2.0,5.8,1.0,0.87,45.0,0.89,27.0,31.0,12.0,59.0,21.17,0.96,29.0,10.7,7.0,5.62,15.55,2.0,7.38,0.34,4.68,53.16,1.28,0.4,8.49,3.63,2023-05-09,2023-04-30,2007-09-30,2022-12-30,2022-12-30
11,Sea Limited ,SE,47.23,44.82,0.0,185.19,0.0,3.77,8.26,3.6,-30.8,1.65,-28.0,-8.0,116.6,40.67,73.19,64.78,0.01,0.0,0.56,0.0,0.32,11.0,65.0,0.02,2.98,0.0,4.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,-9.0,-4.0,-25.0,12.45,22.31,7.0,5.19,-0.7,-1.65,-2.9,0.0,6.89,12.3,4.49,77.19,1.83,10.2,-1.06,-1.69,2017-02-28,,,2022-12-30,2022-12-30
12,"Axon Enterprise, Inc. ",AXON,16.01,15.74,108.23,60.98,0.0,13.39,12.62,13.23,133.85,0.92,79.0,-8.0,229.0,82.49,207.73,156.75,0.0,0.0,0.07,0.0,0.07,6.0,79.0,0.0,2.25,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,8.0,3.0,13.0,1.19,16.74,54.0,0.73,0.12,0.15,2.05,0.0,0.97,13.38,0.75,59.49,3.0,17.75,0.24,0.16,,,2004-11-29,2022-12-30,2022-12-30
13,Atlassian Corporation ,TEAM,40.63,40.26,0.0,81.3,3.73,12.7,70.36,12.66,-290.42,0.83,-42.0,-8.0,300.29,113.86,165.58,184.07,0.0,0.0,0.15,0.0,0.15,0.0,97.0,0.01,2.18,4.0,2.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,-10.0,-6.0,-114.0,3.18,12.48,27.0,2.34,-0.29,-0.4,-1.51,0.0,1.7,6.63,1.3,225.77,1.3,2.25,0.86,1.01,,,,2022-06-29,2022-12-30
14,Lululemon Athletica Inc. ,LULU,46.33,46.25,54.54,31.75,1.57,5.75,14.71,5.7,22.92,1.35,-7.0,-8.0,410.7,251.51,319.2,318.04,0.0,0.0,0.12,0.0,0.12,5.0,92.0,0.0,2.05,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,21.0,20.0,29.0,8.11,63.53,30.0,4.49,2.02,0.85,6.63,-72.0,1.15,9.08,1.07,33.99,2.12,24.73,0.97,0.23,,,2011-07-11,2023-01-28,2023-01-28
15,Snowflake Inc. ,SNOW,47.35,43.59,0.0,227.27,4.17,22.48,8.68,21.1,-55.98,0.75,-35.0,-8.0,216.5,110.26,148.99,154.54,0.01,0.01,0.33,0.0,0.29,9.0,67.0,0.01,2.13,4.0,4.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.0,-41.0,-7.0,-15.0,2.07,6.48,54.0,1.35,-0.78,-0.8,-2.49,0.0,4.01,12.33,0.25,4.6,2.5,16.88,0.55,0.77,,,,2023-01-30,2023-01-30
16,"Cloudflare, Inc. ",NET,19.52,19.44,0.0,370.37,5.51,19.77,31.28,19.94,-233.09,1.03,-50.0,-8.0,122.52,37.37,58.98,54.51,0.01,0.0,0.29,0.0,0.28,1.0,87.0,0.02,4.85,10.0,7.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-20.0,-5.0,-27.0,0.98,2.99,42.0,0.74,-0.12,-0.19,-0.57,0.0,1.65,4.99,1.58,252.75,4.74,1.89,0.12,0.07,,,,2022-12-30,2022-12-30
17,"HubSpot, Inc. ",HUBS,20.14,19.53,0.0,95.24,2.9,11.32,20.3,11.28,-456.55,1.61,-12.0,-8.0,472.12,245.03,388.41,324.38,0.0,0.0,0.05,0.0,0.05,5.0,94.0,0.0,1.81,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-6.0,-3.0,-12.0,1.73,36.01,27.0,1.42,-0.08,-0.11,-2.36,0.0,1.41,28.6,0.81,81.27,2.3,20.16,0.27,0.24,,,,2022-12-30,2022-12-30
18,"Datadog, Inc. ",DDOG,21.06,20.01,0.0,62.89,1.53,12.4,14.93,11.95,0.0,0.99,-55.0,-8.0,144.42,61.34,73.81,84.13,0.01,0.0,0.29,0.0,0.29,8.0,81.0,0.01,1.74,4.0,3.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-4.0,-1.0,-4.0,1.68,5.31,44.0,1.33,-0.03,-0.05,-0.15,0.0,1.88,5.89,0.84,59.38,3.09,4.42,0.42,0.4,,,,2022-12-30,2022-12-30
19,"DigitalOcean Holdings, Inc. ",DOCN,3.62,4.39,0.0,22.68,0.0,6.52,70.79,7.61,50.9,1.15,-33.0,-8.0,55.09,23.38,33.79,35.31,0.0,0.0,0.1,0.0,0.06,29.0,55.0,0.01,6.27,20.0,14.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-2.0,-0.0,-8.0,0.58,5.72,36.0,0.36,0.07,-0.02,-0.23,0.0,0.86,8.91,1.64,3202.57,5.76,0.53,0.2,0.1,,,,2022-12-30,2022-12-30
20,Unity Software Inc. ,U,11.67,12.79,0.0,108.7,0.0,6.95,3.31,9.19,-19.27,2.17,-67.0,-8.0,95.46,21.22,32.37,34.98,0.01,0.01,0.37,0.0,0.23,13.0,73.0,0.02,2.13,8.0,6.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.0,-60.0,-8.0,-30.0,1.39,4.48,43.0,0.95,-0.63,-0.92,-2.99,0.0,1.59,4.23,2.85,75.9,2.34,9.43,-0.06,0.18,,,,2022-12-30,2022-12-30
21,"Semrush Holdings, Inc. ",SEMR,1.4,1.18,0.0,0.0,0.0,5.5,7.03,4.64,-63.9,0.93,-11.0,-8.0,15.0,7.16,9.18,10.5,0.0,0.0,0.12,0.0,0.04,22.0,29.0,0.0,4.47,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,-10.0,-5.0,-16.0,0.25,1.8,28.0,0.21,-0.02,-0.03,-0.24,0.0,0.24,1.68,0.01,6.31,2.9,1.41,-0.01,0.01,,,,2022-12-30,2022-12-30
22,"Lemonade, Inc. ",LMND,0.96,0.71,0.0,0.0,0.0,3.5,1.11,2.77,0.0,1.54,-44.0,-8.0,32.97,12.28,15.11,19.11,0.0,0.0,0.07,0.0,0.05,28.0,36.0,0.01,9.6,26.0,18.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-116.0,-112.0,-11.0,-32.0,0.26,3.95,116.0,0.09,-0.27,-0.3,-4.47,0.0,0.38,5.52,0.04,4.06,1.31,12.51,-0.16,0.04,,,,2022-12-30,2022-12-30
23,"Zoom Video Communications, Inc. ",ZM,21.11,15.8,211.32,17.33,2.69,4.98,3.4,3.6,48.2,-0.22,-39.0,-8.0,124.05,63.55,73.0,81.76,0.0,0.0,0.25,0.0,0.22,9.0,66.0,0.01,2.57,5.0,4.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,2.0,4.39,14.81,4.0,3.29,0.33,0.1,0.33,0.0,5.41,18.42,0.1,1.55,3.66,21.12,1.29,1.64,,,,2023-01-30,2023-01-30
24,"Cadence Design Systems, Inc. ",CDNS,56.97,56.97,67.48,42.02,3.22,16.1,20.75,16.0,47.33,1.07,37.0,-8.0,214.95,132.32,198.14,174.16,0.0,0.0,0.27,0.0,0.27,1.0,90.0,0.0,2.4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,30.0,14.0,31.0,3.56,13.13,16.0,3.19,1.22,0.85,3.16,36.0,0.89,3.25,0.92,33.67,1.27,10.07,1.24,1.01,,,1997-11-16,2022-12-30,2022-12-30
25,"Pinterest, Inc. ",PINS,19.32,16.85,228.94,40.82,0.0,6.71,5.89,6.01,-694.99,0.99,23.0,-8.0,29.27,16.14,26.2,23.9,0.01,0.01,0.59,0.0,0.59,1.0,95.0,0.03,2.26,4.0,4.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-2.0,-1.0,-3.0,2.8,4.21,4.0,2.13,-0.02,-0.1,-0.14,-90.0,2.7,3.95,0.23,6.98,9.08,4.8,0.47,0.52,,,,2022-12-30,2022-12-30
26,"MongoDB, Inc. ",MDB,15.12,14.47,0.0,208.33,2.87,11.54,20.45,11.27,-49.17,0.99,-51.0,-8.0,436.99,135.15,216.77,228.14,0.0,0.0,0.07,0.0,0.07,3.0,90.0,0.0,1.79,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.0,-27.0,-9.0,-49.0,1.28,18.71,36.0,0.93,-0.33,-0.35,-5.1,0.0,1.84,26.22,1.23,166.87,3.8,10.58,-0.01,0.14,,,,2023-01-30,2023-01-30
